temp_C,rh_percent,pressure_hPa,altitude_ba,latitude,longitude,altitude_gps,time_str,abq_rh,temp_C_abq
15,28,867.85,1422.2,34.0663986,-106.9078979,1424,16:26:00,11,21.2
14.7,27.4,867.36,1581.5,34.0677185,-106.907959,1583.5,16:26:01,11,21
14.4,26.9,866.935,1740.7,34.0690384,-106.9080124,1743,16:26:02,11,20.8
14.11,26.5,866.5,1744.7,34.0690804,-106.9080276,1747,16:26:03,11,20.5
13.81,26,866.065,1748.7,34.0691109,-106.9080429,1751,16:26:04,10,20.3
13.51,25.6,865.578,1753.4,34.0691299,-106.9080505,1755.7,16:26:05,10,20.1
13.21,25.2,865.116,1758,34.0691528,-106.9080658,1760.3,16:26:06,10,19.9
12.91,24.8,864.653,1762.7,34.0691719,-106.9080734,1765,16:26:07,10,19.6
12.62,24.45,864.187,1767.2,34.069191,-106.9080582,1769.5,16:26:08,10,19.5
12.32,24.1,863.721,1771.7,34.0692062,-106.9080505,1774,16:26:09,10,19.3
12.02,23.65,863.26,1776.2,34.0692215,-106.9080353,1778.5,16:26:10,10,19.2
11.72,23.2,862.811,1780.7,34.0692406,-106.90802,1783,16:26:11,10,19
11.42,22.7,862.387,1785.7,34.0692596,-106.9079971,1788,16:26:12,10,18.9
11.13,22.3,861.99,1790.6,34.0693016,-106.9079971,1793,16:26:13,10,18.7
10.83,22,861.623,1794.6,34.0693512,-106.9079971,1797,16:26:14,10,18.5
10.53,21.6,861.283,1797.6,34.0694008,-106.9079971,1800,16:26:15,10,18.4
10.23,21.3,860.969,1801.6,34.0694504,-106.9079971,1804,16:26:16,11,18.2
10.19,21.1,860.68,1803.1,34.0695,-106.9079819,1805.5,16:26:17,11,18
10.14,20.8,860.416,1804.6,34.0695496,-106.9079666,1807,16:26:18,11,17.9
10.13,20.6,860.176,1805.6,34.0695992,-106.9079666,1808,16:26:19,11,17.7
10.12,20.4,859.96,1807.6,34.0696297,-106.907959,1810,16:26:20,11,17.6
10.1,20.2,859.757,1809.6,34.0696793,-106.907959,1812,16:26:21,11,17.5
10.08,20.1,859.566,1812.6,34.0697098,-106.907959,1815,16:26:22,11,17.4
10.07,19.9,859.373,1814.6,34.0697403,-106.907959,1817,16:26:23,11,17.3
10.05,19.8,859.177,1816.6,34.0697708,-106.907959,1819,16:26:24,11,17.3
9.94,19.7,858.979,1818.6,34.0697899,-106.9079666,1821,16:26:25,11,17.2
9.88,19.6,858.78,1820.6,34.0698204,-106.9079666,1823,16:26:26,11,17.1
9.92,19.5,858.581,1822.6,34.0698586,-106.9079819,1825,16:26:27,11,17
9.95,19.4,858.384,1824.6,34.0699081,-106.9079819,1827,16:26:28,11,17
9.98,19.4,858.189,1826.6,34.0699501,-106.9079666,1829,16:26:29,11,16.9
10.08,19.3,857.992,1827.6,34.0699883,-106.907959,1830,16:26:30,11,16.8
10.08,19.2,857.793,1829.6,34.0700188,-106.9079437,1832,16:26:31,12,16.7
10.04,19.15,857.595,1831.6,34.0700531,-106.9079361,1834,16:26:32,12,16.7
9.99,19.1,857.395,1833.6,34.0700912,-106.9079285,1836,16:26:33,12,16.6
9.96,19.05,857.195,1835.6,34.0701294,-106.9079361,1838,16:26:34,12,16.5
9.93,19,856.993,1837.6,34.0701714,-106.9079437,1840,16:26:35,12,16.4
9.92,18.96,856.789,1839.6,34.0702019,-106.9079361,1842,16:26:36,12,16.3
9.9,18.92,856.588,1841.6,34.0702324,-106.9079285,1844,16:26:37,12,16.3
9.88,18.88,856.385,1843.6,34.0702591,-106.9079285,1846,16:26:38,12,16.2
9.87,18.84,856.182,1845.6,34.0702896,-106.9079208,1848,16:26:39,12,16.1
9.85,18.8,855.977,1847.6,34.0703201,-106.9079132,1850,16:26:40,12,16
9.86,18.8,855.775,1849,34.0703583,-106.9078979,1851.5,16:26:41,12,15.9
9.86,18.8,855.575,1850.5,34.0704002,-106.9078827,1853,16:26:42,12,15.9
9.85,18.75,855.376,1852,34.0704422,-106.9078674,1854.5,16:26:43,12,15.8
9.83,18.7,855.177,1853.5,34.0704803,-106.9078522,1856,16:26:44,12,15.7
9.81,18.6,854.982,1855.5,34.0705185,-106.9078369,1858,16:26:45,12,15.6
9.8,18.6,854.788,1856.5,34.070549,-106.9078369,1859,16:26:46,12,15.5
9.78,18.6,854.591,1858.5,34.0705795,-106.9078369,1861,16:26:47,12,15.4
9.76,18.6,854.391,1860.5,34.07061,-106.9078369,1863,16:26:48,12,15.4
9.77,18.6,854.193,1862.5,34.0706482,-106.9078369,1865,16:26:49,12,15.3
10,18.5,853.997,1863.5,34.0706902,-106.9078369,1866,16:26:50,13,15.2
10.04,18.5,853.802,1865.5,34.0707397,-106.9078369,1868,16:26:51,13,15.1
9.92,18.45,853.604,1867.5,34.0707779,-106.9078217,1870,16:26:52,13,15.1
9.79,18.4,853.402,1869.5,34.0708199,-106.9078064,1872,16:26:53,13,15
9.73,18.4,853.204,1871.5,34.0708504,-106.9077988,1874,16:26:54,13,14.9
9.72,18.4,853.008,1873.5,34.0709,-106.9077835,1876,16:26:55,13,14.8
9.76,18.4,852.809,1875.5,34.0709381,-106.9077835,1878,16:26:56,13,14.8
9.8,18.4,852.609,1877.5,34.0709801,-106.9077835,1880,16:26:57,13,14.7
9.9,18.4,852.412,1879.5,34.0710297,-106.9077682,1882,16:26:58,13,14.6
9.93,18.4,852.216,1881.5,34.0710602,-106.9077682,1884,16:26:59,13,14.5
10.1,18.3,852.02,1882.5,34.0710793,-106.9077835,1885,16:27:00,13,14.4
10.13,18.3,851.822,1884.5,34.0711212,-106.9077911,1887,16:27:01,13,14.4
10.03,18.3,851.623,1886.5,34.0711594,-106.9077911,1889,16:27:02,13,14.3
9.96,18.2,851.427,1887.5,34.0711899,-106.9077835,1890,16:27:03,13,14.2
9.9,18.2,851.237,1889.5,34.0712242,-106.9077682,1892,16:27:04,13,14.2
9.85,18.2,851.045,1891.5,34.0712585,-106.907753,1894,16:27:05,13,14.1
9.81,18.2,850.85,1893.5,34.0713005,-106.9077377,1896,16:27:06,13,14
9.8,18.2,850.655,1895.5,34.0713425,-106.9077377,1898,16:27:07,13,13.9
9.81,18.2,850.461,1897.5,34.0713806,-106.9077377,1900,16:27:08,13,13.9
10,18.2,850.263,1899.5,34.0714188,-106.9077377,1902,16:27:09,13,13.8
10,18.15,850.062,1901.5,34.0714531,-106.9077301,1904,16:27:10,13,13.7
10,18.1,849.853,1903.5,34.0714912,-106.9077301,1906,16:27:11,14,13.7
9.89,18.1,849.64,1905.5,34.0715256,-106.9077225,1908,16:27:12,14,13.6
9.79,18.1,849.421,1907.5,34.0715637,-106.9077225,1910,16:27:13,14,13.5
9.74,18,849.191,1909.5,34.0715981,-106.9077148,1912,16:27:14,14,13.4
9.71,18,848.95,1911.4,34.0716362,-106.9077148,1914,16:27:15,14,13.4
9.71,18,848.7,1913.4,34.0716705,-106.9077072,1916,16:27:16,14,13.3
9.72,18,848.443,1915.4,34.0717087,-106.9077072,1918,16:27:17,14,13.2
9.75,18,848.178,1917.9,34.0717468,-106.9077072,1920.5,16:27:18,14,13.2
9.79,18,847.908,1920.4,34.0717812,-106.9077072,1923,16:27:19,14,13.1
9.89,18,847.637,1923.4,34.0718079,-106.907692,1926,16:27:20,14,13
9.86,18,847.369,1926.4,34.0718307,-106.9076767,1929,16:27:21,14,13
9.82,18,847.104,1929.4,34.0718803,-106.9076767,1932,16:27:22,14,12.9
9.77,18,846.842,1932.4,34.0719185,-106.9076614,1935,16:27:23,14,12.8
9.74,18,846.58,1935.4,34.0719604,-106.9076538,1938,16:27:24,14,12.8
9.77,18,846.318,1937.4,34.071991,-106.9076309,1940,16:27:25,15,12.7
9.97,18,846.052,1940.4,34.07201,-106.9076233,1943,16:27:26,15,12.6
10.05,18,845.787,1942.4,34.0720291,-106.907608,1945,16:27:27,15,12.6
9.87,18,845.516,1944.4,34.0720596,-106.9076004,1947,16:27:28,15,12.5
9.74,18,845.236,1947.4,34.0721016,-106.9076004,1950,16:27:29,15,12.4
9.66,18,844.944,1950.4,34.0721207,-106.9075928,1953,16:27:30,15,12.3
9.62,18,844.633,1953.4,34.0721512,-106.9075928,1956,16:27:31,15,12.2
9.56,18.1,844.297,1956.4,34.0721817,-106.9075928,1959,16:27:32,15,12.1
9.53,18.1,843.942,1959.4,34.0722198,-106.9075699,1962,16:27:33,15,12
9.51,18.1,843.562,1962.4,34.0722694,-106.907547,1965,16:27:34,15,12
9.54,18.2,843.167,1966.4,34.0723,-106.9075394,1969,16:27:35,15,11.9
9.59,18.2,842.766,1970.4,34.0723305,-106.9075165,1973,16:27:36,15,11.8
9.58,18.2,842.361,1975.3,34.0723495,-106.9075089,1978,16:27:37,15,11.7
9.51,18.3,841.952,1980.3,34.0723801,-106.9075012,1983,16:27:38,15,11.6
9.44,18.3,841.547,1985.3,34.0723991,-106.9074936,1988,16:27:39,16,11.5
9.35,18.4,841.151,1989.1,34.0724182,-106.9075012,1991.8,16:27:40,16,11.4
9.35,18.4,840.773,1992.9,34.0724373,-106.9075012,1995.6,16:27:41,16,11.4
9.35,18.4,840.41,1996.7,34.0724525,-106.9075089,1999.4,16:27:42,16,11.3
9.35,18.45,840.07,2000.5,34.0724716,-106.9075089,2003.2,16:27:43,16,11.1
9.36,18.5,839.747,2004.3,34.0724907,-106.9075165,2007,16:27:44,16,11.1
9.34,18.5,839.447,2006.6,34.0725021,-106.9075165,2009.3,16:27:45,16,11
9.34,18.5,839.166,2008.9,34.0725174,-106.9075089,2011.6,16:27:46,16,10.9
9.34,18.48,838.89,2011.1,34.0725288,-106.9075089,2013.9,16:27:47,16,10.8
9.34,18.46,838.621,2013.4,34.0725403,-106.9075089,2016.1,16:27:48,16,10.7
9.34,18.44,838.353,2015.7,34.0725517,-106.9075089,2018.4,16:27:49,16,10.6
9.34,18.42,838.085,2018,34.072567,-106.9075012,2020.7,16:27:50,16,10.5
9.34,18.4,837.81,2020.3,34.0725784,-106.9075012,2023,16:27:51,16,10.4
9.32,18.35,837.521,2023,34.0725937,-106.9074936,2025.8,16:27:52,16,10.3
9.31,18.3,837.217,2025.8,34.0726089,-106.907486,2028.5,16:27:53,16,10.2
9.28,18.3,836.901,2028.5,34.0726242,-106.9074707,2031.3,16:27:54,16,10.1
9.26,18.3,836.572,2031.3,34.0726395,-106.9074631,2034,16:27:55,16,10.1
9.2,18.3,836.227,2035.2,34.0726509,-106.9074631,2038,16:27:56,17,10
9.17,18.2,835.864,2038.2,34.07267,-106.9074631,2041,16:27:57,17,9.9
9.15,18.3,835.489,2042.4,34.0726738,-106.9074402,2045.1,16:27:58,17,9.8
9.13,18.35,835.102,2046.5,34.0726776,-106.9074249,2049.3,16:27:59,17,9.7
9.11,18.4,834.704,2050.6,34.0726852,-106.907402,2053.4,16:28:00,17,9.6
9.07,18.4,834.31,2054.7,34.0726891,-106.9073792,2057.5,16:28:01,17,9.6
9.03,18.4,833.925,2058.8,34.0726929,-106.9073639,2061.6,16:28:02,17,9.5
9,18.4,833.548,2062.9,34.0727005,-106.907341,2065.8,16:28:03,17,9.4
8.97,18.45,833.185,2067.1,34.0727043,-106.9073257,2069.9,16:28:04,17,9.3
8.93,18.5,832.831,2071.2,34.0727081,-106.9073029,2074,16:28:05,17,9.2
8.99,18.52,832.488,2073.8,34.0727043,-106.9072952,2076.6,16:28:06,17,9.1
9.05,18.54,832.162,2076.4,34.0727005,-106.9072952,2079.2,16:28:07,17,9.1
9.11,18.56,831.849,2079,34.0726967,-106.9072876,2081.8,16:28:08,17,9
9.17,18.58,831.551,2081.6,34.0726929,-106.9072876,2084.4,16:28:09,17,8.9
9.23,18.6,831.263,2084.2,34.0726891,-106.90728,2087,16:28:10,17,8.9
9,18.5,830.984,2087.2,34.0727005,-106.90728,2090,16:28:11,17,8.8
8.86,18.6,830.694,2090.2,34.0727081,-106.9072571,2093,16:28:12,17,8.8
8.81,18.5,830.393,2092.1,34.072731,-106.9072418,2095,16:28:13,17,8.7
8.77,18.5,830.079,2095.1,34.0727386,-106.9072189,2098,16:28:14,17,8.7
8.73,18.5,829.751,2099.1,34.0727501,-106.9072037,2102,16:28:15,18,8.6
8.69,18.5,829.408,2102.1,34.0727615,-106.9071884,2105,16:28:16,18,8.6
8.67,18.5,829.054,2106.1,34.0727692,-106.9071884,2109,16:28:17,18,8.5
8.6,18.6,828.688,2110.1,34.0727806,-106.9071808,2113,16:28:18,18,8.4
8.58,18.6,828.312,2114.1,34.0727921,-106.9071655,2117,16:28:19,18,8.4
8.56,18.6,827.941,2118.1,34.0727997,-106.9071503,2121,16:28:20,18,8.3
8.46,18.6,827.58,2122.1,34.0728111,-106.9071426,2125,16:28:21,18,8.3
8.4,18.7,827.227,2125.4,34.0728302,-106.9071274,2128.3,16:28:22,18,8.2
8.4,18.8,826.889,2128.8,34.0728493,-106.9071121,2131.7,16:28:23,18,8.1
8.39,18.9,826.563,2132.1,34.0728683,-106.9070892,2135,16:28:24,18,8.1
8.37,18.95,826.251,2135.4,34.0728836,-106.907074,2138.3,16:28:25,18,8
8.34,19,825.954,2138.7,34.0729027,-106.9070587,2141.7,16:28:26,18,8
8.31,19.1,825.672,2142.1,34.0729218,-106.9070435,2145,16:28:27,18,7.9
8.34,19.2,825.402,2144.1,34.0729294,-106.9070206,2147,16:28:28,18,7.8
8.38,19.3,825.145,2147.1,34.0729408,-106.9070129,2150,16:28:29,19,7.8
8.4,19.3,824.902,2149.1,34.0729485,-106.9069824,2152,16:28:30,19,7.7
8.37,19.4,824.656,2152,34.0729408,-106.9069595,2155,16:28:31,19,7.6
8.41,19.5,824.407,2155,34.0729408,-106.9069214,2158,16:28:32,19,7.6
8.39,19.5,824.147,2157,34.0729408,-106.9069138,2160,16:28:33,19,7.5
8.38,19.5,823.879,2160,34.0729408,-106.9068832,2163,16:28:34,19,7.4
8.34,19.5,823.601,2162,34.0729485,-106.9068527,2165,16:28:35,19,7.4
8.3,19.5,823.311,2165,34.0729485,-106.9068069,2168,16:28:36,19,7.3
